PERMNO,date,SICCD,TICKER,RET
11260,19900131,3711,C,-0.157895
11260,19900228,3711,C,0.031250
11260,19900330,3711,C,0.025758
11260,19900430,3711,C,-0.127820
11260,19900531,3711,C,0.060345
11260,19900629,3711,C,0.043902
11260,19900731,3711,C,-0.039683
11260,19900831,3711,C,-0.115702
11260,19900928,3711,C,-0.276636
11260,19901031,3711,C,0.173333
11260,19901130,3711,C,0.079545
11260,19901231,3711,C,0.088421
11260,19910131,3711,C,0.000000
11260,19910228,3711,C,0.118812
11260,19910328,3711,C,0.037168
11260,19910430,3711,C,-0.094828
11260,19910531,3711,C,0.142857
11260,19910628,3711,C,-0.040000
11260,19910731,3711,C,-0.026316
11260,19910830,3711,C,-0.117117
11260,19910930,3711,C,-0.171429
11260,19911031,3711,C,0.250000
11260,19911129,3711,C,-0.070000
11260,19911231,3711,C,0.023656
11260,19920131,3711,C,0.223404
11260,19920228,3711,C,0.182609
11260,19920331,3711,C,0.060294
11260,19920430,3711,C,0.076923
11260,19920529,3711,C,-0.058442
11260,19920630,3711,C,0.173793
11260,19920731,3711,C,0.035503
11260,19920831,3711,C,-0.097143
11260,19920930,3711,C,0.178481
11260,19921030,3711,C,0.172973
11260,19921130,3711,C,0.096774
11260,19921231,3711,C,0.080672
11260,19930129,3711,C,0.222656
11260,19930226,3711,C,0.012780
11260,19930331,3711,C,0.003785
11260,19930430,3711,C,0.041009
11260,19930528,3711,C,0.075758
11260,19930630,3711,C,0.068169
11260,19930730,3711,C,-0.071429
11260,19930831,3711,C,-0.025641
11260,19930930,3711,C,0.126316
11260,19931029,3711,C,0.164063
11260,19931130,3711,C,-0.055928
11260,19931231,3711,C,0.013270
11260,19940131,3711,C,0.154930
11260,19940228,3711,C,-0.073171
11260,19940331,3711,C,-0.086404
11260,19940429,3711,C,-0.079518
11260,19940531,3711,C,0.036649
11260,19940630,3711,C,-0.035354
11260,19940729,3711,C,0.013158
11260,19940831,3711,C,-0.002597
11260,19940930,3711,C,-0.059896
11260,19941031,3711,C,0.083565
11260,19941130,3711,C,-0.002571
11260,19941230,3711,C,0.018557
11260,19950131,3711,C,-0.084184
11260,19950228,3711,C,-0.033426
11260,19950331,3711,C,-0.028242
11260,19950428,3711,C,0.035928
11260,19950531,3711,C,0.008671
11260,19950630,3711,C,0.108883
11260,19950731,3711,C,0.018277
11260,19950831,3711,C,0.102564
11260,19950929,3711,C,-0.004651
11260,19951031,3711,C,-0.028302
11260,19951130,3711,C,0.007282
11260,19951229,3711,C,0.074217
11260,19960131,3711,C,0.047619
11260,19960229,3711,C,-0.023810
11260,19960329,3711,C,0.114856
11260,19960430,3711,C,0.012048
11260,19960531,3711,C,0.057540
11260,19960628,3711,C,-0.051407
11260,19960731,3711,C,-0.092000
11260,19960830,3711,C,0.030837
11260,19960930,3711,C,-0.009402
11260,19961031,3711,C,0.174672
11260,19961129,3711,C,0.055762
11260,19961231,3711,C,-0.059155
11260,19970131,3711,C,0.056818
11260,19970228,3711,C,-0.025090
11260,19970331,3711,C,-0.105882
11260,19970430,3711,C,0.000000
11260,19970530,3711,C,0.062500
11260,19970630,3711,C,0.043922
11260,19970731,3711,C,0.131179
11260,19970829,3711,C,-0.055462
11260,19970930,3711,C,0.059431
11260,19971031,3711,C,-0.042445
11260,19971128,3711,C,-0.026596
11260,19971231,3711,C,0.037158
11260,19980130,3711,C,-0.010657
11260,19980227,3711,C,0.116697
11260,19980331,3711,C,0.081029
11260,19980430,3711,C,-0.033033
11260,19980529,3711,C,0.381988
11260,19980630,3711,C,0.020674
11260,19980731,3711,C,0.049889
11260,19980831,3711,C,-0.235480
11260,19980930,3711,C,0.066851
11260,19981030,3711,C,0.005222
11260,19981130,3711,C,
11308,19900131,2087,KO,-0.108414
11308,19900228,2087,KO,0.023593
11308,19900330,2087,KO,0.065957
11308,19900430,2087,KO,0.020067
11308,19900531,2087,KO,0.183607
11308,19900629,2087,KO,-0.012188
11308,19900731,2087,KO,0.022535
11308,19900831,2087,KO,-0.068871
11308,19900928,2087,KO,-0.060355
11308,19901031,2087,KO,0.136076
11308,19901130,2087,KO,0.035097
11308,19901231,2087,KO,0.005405
11308,19910131,2087,KO,0.048387
11308,19910228,2087,KO,0.074359
11308,19910328,2087,KO,0.040382
